filepath_deg,score,commercial_ok
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0073.wav,4.294117647058823,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0082.wav,4.4375,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0087.wav,3.8125,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0091.wav,4.1875,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0117.wav,4.526315789473684,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0120.wav,4.4,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0147.wav,4.444444444444445,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0187.wav,4.176470588235294,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0240.wav,4.388888888888889,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0245.wav,4.25,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0255.wav,2.9411764705882355,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0256.wav,4.266666666666667,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0270.wav,4.8,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0284.wav,4.631578947368421,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0290.wav,4.470588235294118,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0308.wav,4.444444444444445,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0320.wav,4.315789473684211,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0437.wav,4.65,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0451.wav,4.75,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0469.wav,4.411764705882353,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0490.wav,3.4705882352941178,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0504.wav,4.647058823529412,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0532.wav,4.6875,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0533.wav,4.5,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0541.wav,4.375,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0604.wav,4.368421052631579,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0607.wav,4.2,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0611.wav,4.777777777777778,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0619.wav,4.470588235294118,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0680.wav,3.9444444444444446,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0684.wav,4.5625,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0745.wav,4.411764705882353,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0747.wav,4.466666666666667,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0774.wav,4.35,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0779.wav,4.2631578947368425,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0805.wav,4.411764705882353,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0814.wav,4.777777777777778,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0881.wav,4.526315789473684,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0923.wav,4.6,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0947.wav,4.5625,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0951.wav,4.352941176470588,unknown
Blizzard_2023/A_2023-FH1_submission_directory_FH1_MOS_wav_FH1_MOS_0976.wav,4.470588235294118,unknown
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0026.wav,4.421052631578948,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0039.wav,4.529411764705882,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0041.wav,4.5,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0042.wav,4.875,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0043.wav,4.5,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0045.wav,4.266666666666667,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0048.wav,4.25,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0056.wav,4.8125,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0061.wav,4.277777777777778,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0063.wav,3.95,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0066.wav,4.25,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0068.wav,4.75,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0074.wav,4.625,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0079.wav,4.411764705882353,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0084.wav,4.666666666666667,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0085.wav,4.4375,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0100.wav,4.352941176470588,yes
Blizzard_2023/A_2023-FS1_submission_directory_FS1_MOS_wav_FS1_MOS_0132.wav,4.631578947368421,yes
